ctrl+r_1,F9_1,shift+f7_1,shift+tab_1,ctrl+a_1,text_1,tab_1,text_2,tab_2,text_3,,,
,,,3,,519 | SOL07_02 | FV12.00 | Vessel 12.00 Outlet,2,"""SCME_WRK"".io.FVY12_00.io.sts",1,SCME_FVY12_00,,,
,,,3,,520 | SOL07_03 | FV12.01 | Vessel 12.00 Inlet,2,"""SCME_WRK"".io.FVY12_01.io.sts",1,SCME_FVY12_01,,,
,,,3,,521 | SOL07_04 | FV13.00 | Vessel 13.00 Outlet,2,"""SCME_WRK"".io.FVY13_00.io.sts",1,SCME_FVY13_00,,,
,,,3,,522 | SOL07_05 | FV13.01 | Vessel 13.00 Inlet,2,"""SCME_WRK"".io.FVY13_01.io.sts",1,SCME_FVY13_01,,,
,,,3,,523 | SOL07_06 | FV14.00 | Vessel 14.00 Outlet,2,"""SCME_WRK"".io.FVY14_00.io.sts",1,SCME_FVY14_00,,,
,,,3,,524 | SOL07_07 | FV14.01 | Vessel 14.00 Inlet,2,"""SCME_WRK"".io.FVY14_01.io.sts",1,SCME_FVY14_01,,,
,,,3,,525 | SOL07_08 |  | SPARE,2,"""SCME_WRK"".io.SOL07_08.io.sts",1,SCME_SOL07_08,,,
,,,3,,526 | SOL07_09 |  | SPARE,2,"""SCME_WRK"".io.SOL07_09.io.sts",1,SCME_SOL07_09,,,
,,,3,,527 | SOL07_10 |  | SPARE,2,"""SCME_WRK"".io.SOL07_10.io.sts",1,SCME_SOL07_10,,,
,,,3,,528 | SOL07_11 |  | SPARE,2,"""SCME_WRK"".io.SOL07_11.io.sts",1,SCME_SOL07_11,,,
,,,3,,529 | SOL07_12 |  | SPARE,2,"""SCME_WRK"".io.SOL07_12.io.sts",1,SCME_SOL07_12,,,
,,,3,,530 | SOL07_13 |  | SPARE,2,"""SCME_WRK"".io.SOL07_13.io.sts",1,SCME_SOL07_13,,,
,,,3,,531 | SOL07_14 |  | SPARE,2,"""SCME_WRK"".io.SOL07_14.io.sts",1,SCME_SOL07_14,,,
,,,3,,532 | SOL07_15 |  | SPARE,2,"""SCME_WRK"".io.SOL07_15.io.sts",1,SCME_SOL07_15,,,
