ctrl+r_1,F9_1,shift+f7_1,shift+tab_1,ctrl+a_1,text_1,tab_1,text_2,tab_2,text_3,,,
,,,3,,103 | DOM09_06 | R13 | System Shutdown,2,"""COMM_WRK"".IO.R13.io.sts",1,R13,,,
,,,3,,104 | DOM09_07 | R14 | Tank 21.00 Bulk Demand,2,"""COMM_WRK"".IO.R14.io.sts",1,R14,,,
,,,3,,105 | DOM09_08 | R15 | Tank 22.00 Bulk Demand,2,"""COMM_WRK"".IO.R15.io.sts",1,R15,,,
,,,3,,106 | DOM09_09 | R16 | Future Comms,2,"""COMM_WRK"".IO.R16.io.sts",1,R16,,,
,,,3,,107 | DOM09_10 | R17 | Future Comms,2,"""COMM_WRK"".IO.R17.io.sts",1,R17,,,
,,,3,,108 | DOM09_11 | R18 | Future Comms,2,"""COMM_WRK"".IO.R18.io.sts",1,R18,,,
,,,3,,109 | DOM09_12 | R19 | Future Comms,2,"""COMM_WRK"".IO.R19.io.sts",1,R19,,,
,,,3,,110 | DOM09_13 |  | SPARE,2,"""COMM_WRK"".IO.DOM09_13.io.sts",1,DOM09_13,,,
,,,3,,111 | DOM09_14 |  | SPARE,2,"""COMM_WRK"".IO.DOM09_14.io.sts",1,DOM09_14,,,
,,,3,,112 | DOM09_15 |  | SPARE,2,"""COMM_WRK"".IO.DOM09_15.io.sts",1,DOM09_15,,,
,,,,,,,,,,,,
ctrl+r_1,F8_1,enter_1,text_4,enter_1,wait_1,shift+tab_1,ctrl+a_1,text_1,tab_1,text_2,tab_2,text_3
,,1,move,3,1000,2,,113 | AIM10_00 | LT21.00 | Tank 21.00 Level,2,"""COMM_WRK"".IO.LT21_00.smth",1,LT21_00
,,1,move,3,1000,2,,114 | AIM10_01 | FIT40.00 |  Chem 1 Return Flow,2,"""COMM_WRK"".IO.FIT40_00.smth",1,FIT40_00
,,1,move,3,1000,2,,115 | AIM10_02 | PT40.00 |  Chem 1 Return Pressure,2,"""COMM_WRK"".IO.PT40_00.smth",1,PT40_00
,,1,move,3,1000,2,,116 | AIM10_03 | FIT30.00 |  Chem 1 Supply Flow,2,"""COMM_WRK"".IO.FIT30_00.smth",1,FIT30_00
,,1,move,3,1000,2,,117 | AIM10_04 | TT40.00 |  Chem 1 Return Temperature,2,"""COMM_WRK"".IO.TT40_00.smth",1,TT40_00
,,1,move,3,1000,2,,118 | AIM10_05 | PT21.05 |  Tank 21.00 Lower Differential Pressure,2,"""COMM_WRK"".IO.PT21_05.smth",1,PT21_05
,,1,move,3,1000,2,,119 | AIM10_06 | PT21.06 |  Tank 21.00 Upper Differential Pressure,2,"""COMM_WRK"".IO.PT21_06.smth",1,PT21_06
,,1,move,3,1000,2,,120 | AIM10_07 | PIT21.00 | Engine 1 Exhaust Pressure,2,"""COMM_WRK"".IO.PIT21_00.smth",1,PIT21_00
,,1,move,3,1000,2,,121 | AIM11_00 | LT22.00 |  Tank 22.00 Level,2,"""COMM_WRK"".IO.LT22_00.smth",1,LT22_00
,,1,move,3,1000,2,,122 | AIM11_01 | FIT41.00 |  Loop 2 Return Flow,2,"""COMM_WRK"".IO.FIT41_00.smth",1,FIT41_00
,,1,move,3,1000,2,,123 | AIM11_02 | PT41.00 |  Loop 2 Return Pressure,2,"""COMM_WRK"".IO.PT41_00.smth",1,PT41_00
,,1,move,3,1000,2,,124 | AIM11_03 | FIT31.00 |  Loop 2 Supply Flow,2,"""COMM_WRK"".IO.FIT31_00.smth",1,FIT31_00
,,1,move,3,1000,2,,125 | AIM11_04 | PT60.00 |  Particle Counter Pressure,2,"""COMM_WRK"".IO.PT60_00.smth",1,PT60_00
,,1,move,3,1000,2,,126 | AIM11_05 | PT22.05 |  Tank 22.00 Lower Differential Pressure,2,"""COMM_WRK"".IO.PT22_05.smth",1,PT22_05
,,1,move,3,1000,2,,127 | AIM11_06 | PT22.06 |  Tank 22.00 Upper Differential Pressure,2,"""COMM_WRK"".IO.PT22_06.smth",1,PT22_06
,,1,move,3,1000,2,,128 | AIM11_07 | PIT22.00 | Engine 2 Exhaust Pressure,2,"""COMM_WRK"".IO.PIT22_00.smth",1,PIT22_00
,,1,move,3,1000,2,,129 | AIM12_00 | PIT01.00 | Process Gas Pressure,2,"""COMM_WRK"".IO.PIT01_00.smth",1,PIT01_00
,,1,move,3,1000,2,,130 | AIM12_01 | PIT04.00 | Control Gas Pressure 1,2,"""COMM_WRK"".IO.PIT04_00.smth",1,PIT04_00
,,1,move,3,1000,2,,131 | AIM12_02 | PIT05.00 | Control Gas Pressure 2,2,"""COMM_WRK"".IO.PIT05_00.smth",1,PIT05_00
,,1,move,3,1000,2,,132 | AIM12_03 | PIT05.01 | Control Gas Pressure 3,2,"""COMM_WRK"".IO.PIT05_01.smth",1,PIT05_01
,,1,move,3,1000,2,,133 | AIM12_04 | TT00.00 | Control Cabinet Temperature,2,"""COMM_WRK"".IO.TT00_00.smth",1,TT00_00
,,1,move,3,1000,2,,134 | AIM12_05 | TT20.00 | Cabinet Temperature,2,"""COMM_WRK"".IO.TT20_00.smth",1,TT20_00
,,1,move,3,1000,2,,135 | AIM12_06 |  | SPARE,2,"""COMM_WRK"".IO.AIM12_06.smth",1,AIM12_06
,,1,move,3,1000,2,,136 | AIM12_07 | PIT00.00 | Cabinet Exhaust Pressure,2,"""COMM_WRK"".IO.PIT00_00.smth",1,PIT00_00
,,1,move,3,1000,2,,137 | AIM13_00 | PT01.02 | Tank 21.00 Vent pressure,2,"""COMM_WRK"".IO.PT01_02.smth",1,PT01_02
